You can edit rarities here. If you do, make sure to leave this line. Entries are in the form "Skill Index|Rarity Index|Rarity Label & Skill Name"; the rarity label is for your convenience only.
0|0|Healing Signet is Common
1|0|Resurrection Signet is Common
2|1|Power Block is Uncommon
3|1|Mantra of Earth is Uncommon
4|1|Mantra of Flame is Uncommon
5|1|Mantra of Frost is Uncommon
6|1|Mantra of Lightning is Uncommon
7|1|Hex Breaker is Uncommon
8|1|Distortion is Uncommon
9|2|Mantra of Recovery is Rare
10|1|Mantra of Persistence is Uncommon
11|1|Mantra of Inscriptions is Uncommon
12|0|Mantra of Concentration is Common
13|1|Mantra of Resolve is Uncommon
14|1|Mantra of Signets is Uncommon
15|1|Fragility is Uncommon
16|0|Inspired Enchantment is Common
17|0|Inspired Hex is Common
18|0|Power Spike is Common
19|0|Power Leak is Common
20|0|Power Drain is Common
21|1|Empathy is Uncommon
22|1|Shatter Delusions is Uncommon
23|0|Backfire is Common
24|1|Blackout is Uncommon
25|0|Diversion is Common
26|0|Conjure Phantasm is Common
27|1|Illusion of Weakness is Uncommon
28|2|Illusionary Weaponry is Rare
29|1|Sympathetic Visage is Uncommon
30|1|Ignorance is Uncommon
31|0|Arcane Conundrum is Common
32|1|Illusion of Haste is Uncommon
33|0|Channeling is Common
34|2|Energy Surge is Rare
35|1|Ether Feast is Uncommon
36|0|Ether Lord is Common
37|0|Energy Burn is Common
38|0|Clumsiness is Common
39|0|Phantom Pain is Common
40|0|Ethereal Burden is Common
41|1|Guilt is Uncommon
42|2|Ineptitude is Rare
43|0|Spirit of Failure is Common
44|0|Mind Wrack is Common
45|1|Wastrel's Worry is Uncommon
46|1|Shame is Uncommon
47|2|Panic is Rare
48|1|Migraine is Uncommon
49|1|Crippling Anguish is Uncommon
50|2|Fevered Dreams is Rare
51|0|Soothing Images is Common
52|1|Cry of Frustration is Uncommon
53|1|Signet of Midnight is Uncommon
54|1|Signet of Weariness is Uncommon
55|0|Leech Signet is Common
56|1|Signet of Humility is Uncommon
57|2|Keystone Signet is Rare
58|1|Arcane Mimicry is Uncommon
59|0|Spirit Shackles is Common
60|1|Shatter Hex is Uncommon
61|1|Drain Enchantment is Uncommon
62|1|Shatter Enchantment is Uncommon
63|1|Elemental Resistance is Uncommon
64|1|Physical Resistance is Uncommon
65|2|Echo is Rare
66|1|Arcane Echo is Uncommon
67|0|Imagined Burden is Common
68|1|Chaos Storm is Uncommon
69|1|Epidemic is Uncommon
70|2|Energy Drain is Rare
71|1|Energy Tap is Uncommon
72|1|Arcane Thievery is Uncommon
73|2|Mantra of Recall is Rare
74|0|Animate Bone Horror is Common
75|1|Animate Bone Fiend is Uncommon
76|1|Animate Bone Minions is Uncommon
77|2|Grenth's Balance is Rare
78|1|Verata's Gaze is Uncommon
79|1|Verata's Aura is Uncommon
80|0|Deathly Chill is Common
81|1|Verata's Sacrifice is Uncommon
82|1|Well of Power is Uncommon
83|0|Well of Blood is Common
84|0|Well of Suffering is Common
85|1|Well of the Profane is Uncommon
86|0|Putrid Explosion is Common
87|0|Soul Feast is Common
88|1|Necrotic Traversal is Uncommon
89|1|Consume Corpse is Uncommon
90|0|Parasitic Bond is Common
91|0|Soul Barbs is Common
92|1|Barbs is Uncommon
93|0|Shadow Strike is Common
94|0|Price of Failure is Common
95|1|Death Nova is Uncommon
96|0|Deathly Swarm is Common
97|1|Rotting Flesh is Uncommon
98|1|Virulence is Uncommon
99|0|Suffering is Common
100|0|Life Siphon is Common
101|1|Unholy Feast is Uncommon
102|1|Awaken the Blood is Uncommon
103|0|Desecrate Enchantments is Common
104|2|Tainted Flesh is Rare
105|2|Aura of the Lich is Rare
106|0|Blood Renewal is Common
107|1|Dark Aura is Uncommon
108|0|Enfeeble is Common
109|1|Enfeebling Blood is Uncommon
